Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
llava_7b,0.5,Revestimento Interno,0.8200,0.7389,0.6724,0.8200
llava_7b,0.5,Acabamento Interno,0.9000,0.8617,0.8265,0.9000
llava_7b,0.5,Revestimento Externo,0.1200,0.0262,0.0147,0.1200
llava_7b,0.5,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_7b,0.5,Cobertura,1.0000,1.0000,1.0000,1.0000
llava_7b,1.0,Estrutura,0.9400,0.9691,1.0000,0.9400
llava_7b,1.0,Esquadrias,0.5600,0.6545,0.7875,0.5600
llava_7b,1.0,Piso,0.1000,0.0308,0.0182,0.1000
llava_7b,1.0,Forro,0.0000,0.0000,0.0000,0.0000
llava_7b,1.0,Instalação Elétrica,0.9200,0.9583,1.0000,0.9200
llava_7b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
llava_7b,1.0,Revestimento Interno,0.7400,0.7056,0.6742,0.7400
llava_7b,1.0,Acabamento Interno,0.7200,0.7624,0.8100,0.7200
llava_7b,1.0,Revestimento Externo,0.1200,0.0306,0.0176,0.1200
llava_7b,1.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
llava_7b,1.0,Cobertura,0.7800,0.8764,1.0000,0.7800
qwen2.5_14b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
qwen2.5_14b,0.0,Esquadrias,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,0.0,Piso,0.4400,0.2689,0.1936,0.4400
qwen2.5_14b,0.0,Forro,0.9400,0.9109,0.8836,0.9400
qwen2.5_14b,0.0,Instalação Elétrica,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.0,Revestimento Interno,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,0.0,Revestimento Externo,0.8400,0.7670,0.7056,0.8400
qwen2.5_14b,0.0,Acabamento Externo,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
qwen2.5_14b,0.5,Estrutura,1.0000,1.0000,1.0000,1.0000
qwen2.5_14b,0.5,Esquadrias,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,0.5,Piso,0.4400,0.2689,0.1936,0.4400
qwen2.5_14b,0.5,Forro,0.9400,0.9109,0.8836,0.9400
qwen2.5_14b,0.5,Instalação Elétrica,0.0800,0.1481,1.0000,0.0800
qwen2.5_14b,0.5,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.5,Revestimento Interno,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,0.5,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,0.5,Revestimento Externo,0.8200,0.7569,0.7029,0.8200
qwen2.5_14b,0.5,Acabamento Externo,0.0200,0.0392,0.9400,0.0200
qwen2.5_14b,0.5,Cobertura,1.0000,1.0000,1.0000,1.0000
qwen2.5_14b,1.0,Estrutura,0.9400,0.9691,1.0000,0.9400
qwen2.5_14b,1.0,Esquadrias,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,1.0,Piso,0.4400,0.2689,0.1936,0.4400
qwen2.5_14b,1.0,Forro,0.9000,0.9000,0.9000,0.9000
qwen2.5_14b,1.0,Instalação Elétrica,0.2800,0.4375,1.0000,0.2800
qwen2.5_14b,1.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,1.0,Revestimento Interno,0.0000,0.0000,0.0000,0.0000
qwen2.5_14b,1.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
qwen2.5_14b,1.0,Revestimento Externo,0.7800,0.7445,0.7122,0.7800
qwen2.5_14b,1.0,Acabamento Externo,0.0400,0.0752,0.6267,0.0400
qwen2.5_14b,1.0,Cobertura,0.9400,0.9691,1.0000,0.9400
qwen2.5_32b,0.0,Estrutura,0.9800,0.9899,1.0000,0.9800
qwen2.5_32b,0.0,Esquadrias,0.8800,0.8426,0.8082,0.8800
qwen2.5_32b,0.0,Piso,0.4400,0.2727,0.1976,0.4400
qwen2.5_32b,0.0,Forro,0.9200,0.9008,0.8824,0.9200
qwen2.5_32b,0.0,Instalação Elétrica,0.1800,0.3051,1.0000,0.1800
qwen2.5_32b,0.0,Instalação Sanitária,0.0000,0.0000,0.0000,0.0000
qwen2.5_32b,0.0,Revestimento Interno,0.0000,0.0000,0.0000,0.0000
